Date,LTC.open,LTC.close,LTC.high,LTC.low,LTC.volume
2019-07-16 18:00:00,79.182,78.853,80.16,78.521,7468.81922489
2019-07-16 18:30:00,78.894,78.201,79.118,78.032,4916.55428704
2019-07-16 19:00:00,78.171,78.439,78.97,78.136,3375.21782545
2019-07-16 19:30:00,78.437,79.702,79.726,78.059,5169.63090612
2019-07-16 20:00:00,79.747,79.556,79.793,79.049,3805.95114308
2019-07-16 20:30:00,79.597,79.704,81.17,79.098,9308.58842038
2019-07-16 21:00:00,79.669,80.554,80.788,78.26,4500.70447119
2019-07-16 21:30:00,80.681,81.007,81.313,80.389,1070.96403592
2019-07-16 22:00:00,80.959,80.648,80.976,79.904,2818.39469158
2019-07-16 22:30:00,80.493,79.263,80.525,79.1,3460.26301288
2019-07-16 23:00:00,79.288,79.637,80.316,78.529,5318.28825383
2019-07-16 23:30:00,79.646,79.531,80.521,79.222,2311.35584403
2019-07-17 00:00:00,79.588,80.532,80.657,79.588,1050.46324923
2019-07-17 00:30:00,80.649,79.925,80.979,79.888,3080.24908691
2019-07-17 01:00:00,79.921,79.347,80.152,79.347,2845.65822918
2019-07-17 01:30:00,79.556,79.49,79.9,79.271,3080.50126337
2019-07-17 02:00:00,79.607,77.918,79.607,76.799,9000.37243754
2019-07-17 02:30:00,77.846,77.861,78.413,77.237,1963.87932559
2019-07-17 03:00:00,77.856,78.513,79.191,77.856,1984.10887974
2019-07-17 03:30:00,78.572,79.291,79.508,78.539,1667.46199191
2019-07-17 04:00:00,79.294,79.072,79.615,78.369,1231.12144795
2019-07-17 04:30:00,78.828,78.864,79.499,78.692,795.15507339
2019-07-17 05:00:00,78.995,79.119,79.489,78.984,294.27387864
2019-07-17 05:30:00,79.22,80.005,80.426,79.22,1800.69029561
2019-07-17 06:00:00,79.927,80.117,80.384,79.556,664.21747208
2019-07-17 06:30:00,80.057,80.44,81.064,80.014,2149.65445922
2019-07-17 07:00:00,80.44,80.0,80.44,79.779,932.65452999
2019-07-17 07:30:00,79.952,80.063,80.657,79.379,7520.92011126
2019-07-17 08:00:00,79.931,79.658,80.215,79.395,13702.4115653
2019-07-17 08:30:00,79.695,80.256,80.256,79.658,1252.47071901
2019-07-17 09:00:00,80.262,79.587,80.508,79.286,2106.37555719
2019-07-17 09:30:00,79.547,79.526,79.999,79.401,1695.5493179
2019-07-17 10:00:00,79.452,78.807,79.488,78.082,4526.80259451
